Year:,Seller:,Bike make:,Zone:,Starter:,Kilometers:,Warranty:,Condition:,Negotiable:,Lot number:,Price:,Bike model:,Fuel system:,Displacement:,Engine type:,Power:,Gearbox:,Ignition system:,Reserve fuel capacity:,Mileage:,Fuel control:,Transmission type:,Fuel comsumption:
2012,Owner,Bajaj,Narayani,Electric,55000,None,New,Negotiable,21,"रु 1,00,000",,,,,,,,,,,,
2016,Owner,Bajaj,Lumbini,,48000,None,New,Negotiable,20,"रु 1,25,000",Bajaj Pulsar 150cc,,,,,,,,,,,
2019,Owner,Benelli,Lumbini,,8500,None,New,,58,,,,,,,,,,,,,
2018,Owner,Royal Enfield,Bagmati,,6000,None,New,,2,,Royal Enfield Thunderbird 350cc,"UCAL, BS29",346 cc,"Single Cylinder, 4 stroke, Twinspark, Air cooled",20,5 Speed Constant Mesh,Transistorized Coil Ignition (TCI),1.25 litre,,,,
2010,,Hero,Mechi,,60000,None,New,Negotiable,4,"रु 80,000",Hero Super Splendor DRS,,,,,4,,,,,,
2019,Owner,Benelli,Lumbini,,8500,None,New,,58,,,,,,,,,,,,,
2018,Owner,Bajaj,Mechi,Electric & Kick,12500,Available,New,Negotiable,9,"रु 1,85,000",Bajaj Pulsar 150cc,,150cc,,,5,,,45,Patrol,,
2012,Owner,Hero,Bagmati,,15000,None,New,,54,,Hero Pleasure,,102.00 ccm (6.22 cubic inches),,,Automatic,,,,,Shaft drive (cardan),
2018,Owner,Bajaj,Gandaki,,12000,None,New,Negotiable,15,"रु 2,35,000",Bajaj Pulsar 220F Frame,,,,,,,,,,,
2017,Owner,Honda,Koshi,Electric & Kick,33000,None,New,Negotiable,32,"रु 2,00,000",CB Unicorn 160,,160cc,,,,,1.3 ltrs,55,,Manual ,
2018,Owner,Bajaj,Sagarmatha,,42000,None,New,Negotiable,10,"रु 1,80,000",Bajaj Pulsar 150cc,,,,,,,,,,,
,,Honda,Bagmati,,,None,New,Not negotiable,42,"रु 5,50,000",Honda XR250 Tornado,,,,,,,,,,,
2019,Owner,Benelli,Lumbini,,8500,None,New,,58,,,,,,,,,,,,,
2013,Owner,Honda,Gandaki,,25000,None,New,Negotiable,8,"रु 65,000",Honda Dio,,,,,,,,,,,
2017,Owner,Yamaha,Bagmati,Electric,34000,None,Old,,78,"रु 1,60,000",YZF R15S,,,,,,,,35,,,
2019,Owner,Honda,Gandaki,,7000,None,New,,18,"रु 1,85,000",Honda New Dio,,109cc,4Stroke air cooled SI engine,,,,,,,,
2018,Owner,Bajaj,Gandaki,,14000,None,New,Negotiable,14,"रु 2,20,000",Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
2017,Dealer,KTM,Gandaki,,17000,None,New,,14,,,,,,,,,,,,,
,Owner,Hero,Bagmati,,15709,None,New,,89,,Achiever,,,,,,,,,,,
2013,Owner,Hero,Mechi,Electric & Kick,45000,None,New,Negotiable,5,"रु 1,00,000",Hero CBZ Xtreme - DSS,Carburettor,149.2cc,"Air Cooled, 4- Stroke, ATFT",14,5-speed,electric and kick,1.5 ltr,50,carburetor,cc,50km/pl
2019,Owner,Royal Enfield,Bagmati,Electric & Kick,7000,Available,New,,5,,Royal Enfield Thunderbird 350cc,"UCAL, BS29",350cc,"Single Cylinder, 4 stroke, Twinspark, Air cooled",350,5 Speed Constant Mesh,Transistorized Coil Ignition (TCI),1.25 litre,32,Carburetor,,32ltrs
,Owner,Royal Enfield,Bagmati,Electric & Kick,13000,None,New,Negotiable,84,"रु 3,50,000",Royal Enfield Classic 500cc,Keihin Electronic Fuel Injection,499 cc,"Single Cylinder, 4 stroke, Twinspark",27,5 Speed Constant Mesh,Digital Electronic Ignition,,20,Carburetor ,Manual ,
2017,,Honda,Koshi,,,None,New,Negotiable,25,,Honda Dio,,,,,,,,,,,
,Owner,Honda,Bagmati,,,None,New,,73,"रु 1,25,000",Honda CB Unicorn Dazzler DSS,Carburettor,149.10 ccm (9.10 cubic inches),"Single cylinder, four-stroke",14,5-speed,Digital CDI,,,,Chain,1.67 litres/100 km (59.9 km/l or 140.85 mpg)
2017,Owner,TVS,Gandaki,Electric,15600,Available,New,Negotiable,14,"रु 2,25,000",TVS Apache RTR 200 4v,Carburetor Petrol,197.75 cc,SI 4 Stroke Oil Cooled Single Cylinder ,,Manual,IDI - Dual Mode Digital Ignition ,,35,,Chain Drive ,38 - 40kmpl
2017,Owner,Hero,Seti,Electric & Kick,20654,Available,New,,6,"रु 1,30,000",Maestro Edge,,,,,,,,,,,40kpl
2011,Owner,Yamaha,Bagmati,,47000,None,New,Negotiable,47,"रु 95,000",Yamaha R15,,,,,,,,,,,
2019,Owner,Yamaha,Bagmati,,6800,None,New,Negotiable,6,"रु 2,67,000",FZ-S FI,,,,,,,,,,,
2017,Owner,Honda,Narayani,,22000,None,New,Negotiable,52,"रु 1,35,000",CB Unicorn 160,,,,,,,,55,,,
2017,Owner,Honda,Narayani,,22000,None,New,Negotiable,52,"रु 1,30,000",CB Unicorn 160,,,,,,,,55,,,
2019,Owner,Yamaha,Bagmati,Electric,,None,New,Negotiable,105,"रु 3,55,000",,,,,,,,,35,,,
2018,Owner,Bajaj,Narayani,Electric & Kick,16500,None,New,Not negotiable,55,"रु 2,10,000",Bajaj Pulsar 150cc,,,150cc,19,5,,17,50,Fully ,,17
2018,Owner,Other Bike Brand,Bagmati,Electric,9800,None,New,,95,"रु 3,49,999",,,,,,5 speed,,,,,Manual,
